Name,in:Elevator Width,in:Elevator Length,in:Module Width,in:Module Length,in:Floor Height,in:Length Shift,in:Width Shift,in:Glass Type,in:Solid Wall Amount,out:Total SF,out:Total Steel Tonnage,out:Total EE,out:Amount Glazed,img:Image Name,threeD,,,,,
12~12~26~66~14~-8~2~4~0.44,12,12,26,66,14,-8,2,4,0.44,58080,613.609428,12999.82782,0.14,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_12.0_26.0_74.0_18.0_-2.0_-2.0_6.0_0.3_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_12.0_26.0_66.0_14.0_-8.0_2.0_4.0_0.44.json,,,,,
12~12~26~74~18~-2~-2~6~0.3,12,12,26,74,18,-2,-2,6,0.3,61664,603.848939,12049.41619,0.67,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_12.0_26.0_76.0_16.0_6.0_2.0_1.0_0.43_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_12.0_26.0_74.0_18.0_-2.0_-2.0_6.0_0.3.json,,,,,
12~12~26~76~16~6~2~1~0.43,12,12,26,76,16,6,2,1,0.43,65728,671.275418,12566.79041,0.16,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_12.0_28.0_60.0_16.0_6.0_-4.0_1.0_0.25_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_12.0_26.0_76.0_16.0_6.0_2.0_1.0_0.43.json,,,,,
12~12~28~60~16~6~-4~1~0.25,12,12,28,60,16,6,-4,1,0.25,58368,462.395351,9747.978344,1,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_12.0_28.0_60.0_16.0_6.0_-4.0_1.0_0.26_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_12.0_28.0_60.0_16.0_6.0_-4.0_1.0_0.25.json,,,,,
12~12~28~60~16~6~-4~1~0.26,12,12,28,60,16,6,-4,1,0.26,58368,462.395351,9747.978344,0.92,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_12.0_28.0_60.0_17.0_-8.0_-2.0_8.0_0.4_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_12.0_28.0_60.0_16.0_6.0_-4.0_1.0_0.26.json,,,,,
12~12~28~60~17~-8~-2~8~0.4,12,12,28,60,17,-8,-2,8,0.4,57024,739.625821,15959.94669,0.25,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_12.0_28.0_64.0_18.0_0.0_2.0_8.0_0.47_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_12.0_28.0_60.0_17.0_-8.0_-2.0_8.0_0.4.json,,,,,
12~12~28~64~18~0~2~8~0.47,12,12,28,64,18,0,2,8,0.47,55808,680.646004,15006.98825,0.06,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_12.0_28.0_64.0_18.0_2.0_0.0_0.0_0.46_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_12.0_28.0_64.0_18.0_0.0_2.0_8.0_0.47.json,,,,,
12~12~28~64~18~2~0~0~0.46,12,12,28,64,18,2,0,0,0.46,54080,351.021258,7986.871302,0.09,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_12.0_28.0_66.0_16.0_-2.0_-2.0_6.0_0.33_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_12.0_28.0_64.0_18.0_2.0_0.0_0.0_0.46.json,,,,,
12~12~28~66~16~0~-2~5~0.34,12,12,28,66,16,0,-2,5,0.34,57696,682.765978,14561.49473,0.47,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_12.0_28.0_66.0_16.0_0.0_-2.0_5.0_0.34_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_12.0_28.0_66.0_16.0_-2.0_-2.0_6.0_0.33.json,,,,,
12~12~28~66~16~-2~-2~6~0.33,12,12,28,66,16,-2,-2,6,0.33,58944,666.213969,13907.43757,0.52,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_12.0_28.0_66.0_17.0_2.0_0.0_0.0_0.1_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_12.0_28.0_66.0_16.0_0.0_-2.0_5.0_0.34.json,,,,,
12~12~28~66~17~2~0~0~0.1,12,12,28,66,17,2,0,0,0.1,55872,363.645521,8008.662658,4,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_12.0_28.0_66.0_18.0_4.0_-2.0_0.0_0.05_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_12.0_28.0_66.0_17.0_2.0_0.0_0.0_0.1.json,,,,,
12~12~28~66~18~4~-2~0~0.05,12,12,28,66,18,4,-2,0,0.05,60192,769.805628,15736.80888,9,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_12.0_28.0_70.0_15.0_-2.0_-2.0_6.0_0.4_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_12.0_28.0_66.0_18.0_4.0_-2.0_0.0_0.05.json,,,,,
12~12~28~70~15~-2~-2~6~0.4,12,12,28,70,15,-2,-2,6,0.4,62720,684.810725,13435.10842,0.25,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_12.0_28.0_70.0_15.0_-2.0_-4.0_6.0_0.3_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_12.0_28.0_70.0_15.0_-2.0_-2.0_6.0_0.4.json,,,,,
12~12~28~70~15~-2~-4~6~0.3,12,12,28,70,15,-2,-4,6,0.3,65984,369.895367,6897.884336,0.67,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_12.0_28.0_70.0_16.0_-2.0_-4.0_1.0_0.29_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_12.0_28.0_70.0_15.0_-2.0_-4.0_6.0_0.3.json,,,,,
12~12~28~70~16~-2~-4~1~0.29,12,12,28,70,16,-2,-4,1,0.29,65984,375.033785,6993.665131,0.72,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_12.0_30.0_66.0_16.0_2.0_0.0_5.0_0.38_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_12.0_28.0_70.0_16.0_-2.0_-4.0_1.0_0.29.json,,,,,
12~12~30~66~16~2~0~5~0.38,12,12,30,66,16,2,0,5,0.38,60192,375.542596,7677.099947,0.32,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_12.0_32.0_60.0_16.0_-8.0_2.0_4.0_0.03_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_12.0_30.0_66.0_16.0_2.0_0.0_5.0_0.38.json,,,,,
12~12~32~60~16~-8~2~4~0.03,12,12,32,60,16,-8,2,4,0.03,65472,902.013359,16952.28495,15.67,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_12.0_32.0_62.0_18.0_4.0_-4.0_0.0_0.1_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_12.0_32.0_60.0_16.0_-8.0_2.0_4.0_0.03.json,,,,,
12~12~32~62~18~4~-4~0~0.1,12,12,32,62,18,4,-4,0,0.1,67520,706.78898,12880.33175,4,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_14.0_24.0_74.0_14.0_-2.0_2.0_9.0_0.25_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_12.0_32.0_62.0_18.0_4.0_-4.0_0.0_0.1.json,,,,,
12~14~24~74~14~-2~2~9~0.25,12,14,24,74,14,-2,2,9,0.25,56064,572.758954,12570.63356,1,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_14.0_24.0_76.0_14.0_0.0_-4.0_7.0_0.18_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_14.0_24.0_74.0_14.0_-2.0_2.0_9.0_0.25.json,,,,,
12~14~24~76~14~0~-4~7~0.18,12,14,24,76,14,0,-4,7,0.18,60288,382.265307,7802.050159,1.78,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_14.0_26.0_62.0_15.0_-2.0_0.0_8.0_0.44_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_14.0_24.0_76.0_14.0_0.0_-4.0_7.0_0.18.json,,,,,
12~14~26~62~15~-2~0~8~0.44,12,14,26,62,15,-2,0,8,0.44,47456,327.527237,8492.287593,0.14,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_14.0_26.0_64.0_16.0_2.0_0.0_8.0_0.46_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_14.0_26.0_62.0_15.0_-2.0_0.0_8.0_0.44.json,,,,,
12~14~26~64~16~2~0~8~0.46,12,14,26,64,16,2,0,8,0.46,49120,335.512931,8404.723127,0.09,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_14.0_26.0_66.0_14.0_2.0_-4.0_0.0_0.45_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_14.0_26.0_64.0_16.0_2.0_0.0_8.0_0.46.json,,,,,
12~14~26~66~14~2~-4~0~0.45,12,14,26,66,14,2,-4,0,0.45,56928,337.788636,7301.152333,0.11,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_14.0_26.0_68.0_16.0_-6.0_-2.0_7.0_0.22_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_14.0_26.0_66.0_14.0_2.0_-4.0_0.0_0.45.json,,,,,
12~14~26~68~16~-6~-2~7~0.22,12,14,26,68,16,-6,-2,7,0.22,57920,624.259633,13262.08564,1.27,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_14.0_26.0_70.0_17.0_-2.0_2.0_8.0_0.1_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_14.0_26.0_68.0_16.0_-6.0_-2.0_7.0_0.22.json,,,,,
12~14~26~70~17~-2~2~8~0.1,12,14,26,70,17,-2,2,8,0.1,57376,575.972328,12352.3773,4,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_14.0_28.0_64.0_14.0_-2.0_0.0_6.0_0.33_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_14.0_26.0_70.0_17.0_-2.0_2.0_8.0_0.1.json,,,,,
12~14~28~64~14~-2~0~6~0.33,12,14,28,64,14,-2,0,6,0.33,53312,337.860763,7798.056723,0.52,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_14.0_28.0_72.0_16.0_-4.0_-2.0_1.0_0.18_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_14.0_28.0_64.0_14.0_-2.0_0.0_6.0_0.33.json,,,,,
12~14~28~72~16~-4~-2~1~0.18,12,14,28,72,16,-4,-2,1,0.18,65088,804.093757,15201.41962,1.78,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_14.0_30.0_72.0_14.0_0.0_0.0_6.0_0.12_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_14.0_28.0_72.0_16.0_-4.0_-2.0_1.0_0.18.json,,,,,
12~14~30~72~14~0~0~6~0.12,12,14,30,72,14,0,0,6,0.12,63744,424.72273,8198.575552,3.17,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_14.0_32.0_76.0_14.0_2.0_2.0_8.0_0.03_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_14.0_30.0_72.0_14.0_0.0_0.0_6.0_0.12.json,,,,,
12~14~32~76~14~2~2~8~0.03,12,14,32,76,14,2,2,8,0.03,77536,743.383754,11797.22967,15.67,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_16.0_24.0_70.0_15.0_-2.0_-4.0_1.0_0.37_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_14.0_32.0_76.0_14.0_2.0_2.0_8.0_0.03.json,,,,,
12~16~24~70~15~-2~-4~1~0.37,12,16,24,70,15,-2,-4,1,0.37,55296,336.74015,7493.308738,0.35,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_16.0_24.0_72.0_18.0_0.0_-2.0_5.0_0.4_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_16.0_24.0_70.0_15.0_-2.0_-4.0_1.0_0.37.json,,,,,
12~16~24~72~18~0~-2~5~0.4,12,16,24,72,18,0,-2,5,0.4,52608,552.549243,12923.8899,0.25,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_16.0_24.0_76.0_17.0_4.0_0.0_1.0_0.28_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_16.0_24.0_72.0_18.0_0.0_-2.0_5.0_0.4.json,,,,,
12~16~24~76~17~4~0~1~0.28,12,16,24,76,17,4,0,1,0.28,54528,357.780577,8073.650235,0.79,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_16.0_26.0_62.0_15.0_-8.0_0.0_9.0_0.48_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_16.0_24.0_76.0_17.0_4.0_0.0_1.0_0.28.json,,,,,
12~16~26~62~15~-8~0~9~0.48,12,16,26,62,15,-8,0,9,0.48,50432,401.13395,9787.238261,0.04,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_16.0_26.0_62.0_16.0_-8.0_0.0_9.0_0.48_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_16.0_26.0_62.0_15.0_-8.0_0.0_9.0_0.48.json,,,,,
12~16~26~62~16~-8~0~9~0.48,12,16,26,62,16,-8,0,9,0.48,50432,406.926956,9928.616751,0.04,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_16.0_26.0_64.0_19.0_-2.0_-2.0_7.0_0.1_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_16.0_26.0_62.0_16.0_-8.0_0.0_9.0_0.48.json,,,,,
12~16~26~64~19~-2~-2~7~0.1,12,16,26,64,19,-2,-2,7,0.1,51328,555.455897,13315.77696,4,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_16.0_26.0_74.0_18.0_4.0_-2.0_2.0_0.05_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_16.0_26.0_64.0_19.0_-2.0_-2.0_7.0_0.1.json,,,,,
12~16~26~74~18~4~-2~2~0.05,12,16,26,74,18,4,-2,2,0.05,61280,670.309526,13459.69321,9,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_16.0_28.0_64.0_18.0_-2.0_-2.0_2.0_0.32_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_16.0_26.0_74.0_18.0_4.0_-2.0_2.0_0.05.json,,,,,
12~16~28~64~18~-2~-2~2~0.32,12,16,28,64,18,-2,-2,2,0.32,55520,659.36677,14613.41499,0.56,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_16.0_32.0_62.0_15.0_4.0_-4.0_3.0_0.08_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_16.0_28.0_64.0_18.0_-2.0_-2.0_2.0_0.32.json,,,,,
12~16~32~62~15~4~-4~3~0.08,12,16,32,62,15,4,-4,3,0.08,65984,680.350247,12687.01503,5.25,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_16.0_32.0_64.0_14.0_6.0_0.0_8.0_0.21_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_16.0_32.0_62.0_15.0_4.0_-4.0_3.0_0.08.json,,,,,
12~16~32~64~14~6~0~8~0.21,12,16,32,64,14,6,0,8,0.21,64000,541.883558,10418.4375,1.38,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_16.0_32.0_66.0_18.0_6.0_0.0_3.0_0.32_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_16.0_32.0_64.0_14.0_6.0_0.0_8.0_0.21.json,,,,,
12~16~32~66~18~6~0~3~0.32,12,16,32,66,18,6,0,3,0.32,66048,576.307901,10736.58551,0.56,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_18.0_26.0_68.0_17.0_-2.0_0.0_7.0_0.18_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_16.0_32.0_66.0_18.0_6.0_0.0_3.0_0.32.json,,,,,
12~18~26~68~17~-2~0~7~0.18,12,18,26,68,17,-2,0,7,0.18,50912,364.85339,8817.960402,1.78,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_18.0_26.0_70.0_14.0_0.0_-4.0_6.0_0.2_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_18.0_26.0_68.0_17.0_-2.0_0.0_7.0_0.18.json,,,,,
12~18~26~70~14~0~-4~6~0.2,12,18,26,70,14,0,-4,6,0.2,58048,367.075857,7781.146637,1.5,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_18.0_26.0_70.0_16.0_-2.0_0.0_1.0_0.15_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_18.0_26.0_70.0_14.0_0.0_-4.0_6.0_0.2.json,,,,,
12~18~26~70~16~-2~0~1~0.15,12,18,26,70,16,-2,0,1,0.15,52576,361.224445,8454.047474,2.33,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_18.0_26.0_72.0_17.0_-8.0_-2.0_3.0_0.13_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_18.0_26.0_70.0_16.0_-2.0_0.0_1.0_0.15.json,,,,,
12~18~26~72~17~-8~-2~3~0.13,12,18,26,72,17,-8,-2,3,0.13,61056,659.834505,13297.79219,2.85,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_18.0_26.0_78.0_18.0_0.0_-2.0_9.0_0.47_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_18.0_26.0_72.0_17.0_-8.0_-2.0_3.0_0.13.json,,,,,
12~18~26~78~18~0~-2~9~0.47,12,18,26,78,18,0,-2,9,0.47,61728,627.48371,12508.10005,0.06,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_18.0_30.0_60.0_16.0_-8.0_-4.0_9.0_0.04_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_18.0_26.0_78.0_18.0_0.0_-2.0_9.0_0.47.json,,,,,
12~18~30~60~16~-8~-4~9~0.04,12,18,30,60,16,-8,-4,9,0.04,61440,626.631511,12549.80469,11.5,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_18.0_30.0_72.0_14.0_2.0_-4.0_9.0_0.48_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_18.0_30.0_60.0_16.0_-8.0_-4.0_9.0_0.04.json,,,,,
12~18~30~72~14~2~-4~9~0.48,12,18,30,72,14,2,-4,9,0.48,70368,446.419691,7806.247158,0.04,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_18.0_32.0_60.0_17.0_4.0_-4.0_8.0_0.19_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_18.0_30.0_72.0_14.0_2.0_-4.0_9.0_0.48.json,,,,,
12~18~32~60~17~4~-4~8~0.19,12,18,32,60,17,4,-4,8,0.19,62976,688.057415,13443.69284,1.63,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_18.0_32.0_68.0_16.0_-4.0_-2.0_0.0_0.37_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_18.0_32.0_60.0_17.0_4.0_-4.0_8.0_0.19.json,,,,,
12~18~32~68~16~-4~-2~0~0.37,12,18,32,68,16,-4,-2,0,0.37,68864,935.160096,16709.74675,0.35,https://dl.dropboxusercontent.com/u/16228160/D3TestData/DEImages/12.0_20.0_24.0_62.0_15.0_4.0_-2.0_5.0_0.34_Perspective.png,https://dl.dropboxusercontent.com/u/16228160/D3TestData/threeD/3D12.0_18.0_32.0_68.0_16.0_-4.0_-2.0_0.0_0.37.json,,,,,
