in:name,in:building width,in:building length,in:core width,in:core length,in:floor to floor,in:length shift,in:width shift,in:concrete or steel,in:glass performance,in:glazing ratio %,out:floor area,out:ECe Steel,out:EE Steel,out:ECe Concrete,out:EE Concrete,out:ECe Glazing,out:EE Glazing,out:Daylight Factor %,out:Total Cooling kwh,out:Total Heating kwh,out: Steel ECe/m2,out: Steel EE/m2,out:Concrete ECe/m2,out:Concrete EE/m2,out:Glazing ECe/m2,out:Glazing EE/m2,out:Total Ece,out: Total EE,:img,:threed
9.0-20.0-2.5-3.0-4.0--2.0--1.0-0.0-1.0-0.4,9,20,2.5,3,4,-2,-1,0,1,40,6384,1901800,23851000,1775500,11397000,602680,11816480,32.2,214886,304414,297.9,3736.1,278.1,1785.2,94.4,1851.0,4279980,47064480,9.0-20.0-2.5-3.0-4.0--2.0--1.0-0.0-1.0-0.4_0__Perspective.png,9.0-20.0-2.5-3.0-4.0--2.0--1.0-0.0-1.0-0.4.json
7.8-19.8-3.0-5.2-5.5-0.2--1.0-1.0-2.0-0.3,7.8,19.8,3,5.2,5.5,0.2,-1,1,2,30,4950.7,1427600,17905000,473818.6,3041400,1372108,26928970,87.4,226647,296693,288.4,3616.7,95.7,614.3,277.2,5439.4,3273527,47875370,7.8-19.8-3.0-5.2-5.5-0.2--1.0-1.0-2.0-0.3_0__Perspective.png,7.8-19.8-3.0-5.2-5.5-0.2--1.0-1.0-2.0-0.3.json
8.2-18.5-2.7-5.1-6.3-1.5--0.3-1.0-2.0-0.5,8.2,18.5,2.7,5.1,6.3,1.5,-0.3,1,2,50,4831.4,2010100,25209000,558022.9,3581900,1406144,27596960,87,226197,304768,416.0,5217.7,115.5,741.4,291.0,5712.0,3974267,56387860,8.2-18.5-2.7-5.1-6.3-1.5--0.3-1.0-2.0-0.5_0__Perspective.png,8.2-18.5-2.7-5.1-6.3-1.5--0.3-1.0-2.0-0.5.json
8.5-15.1-3.3-4.2-4.1--1.0--0.5-0.0-0.0-0.6,8.5,15.1,3.3,4.2,4.1,-1,-0.5,0,0,60,4036.9,1311400,16447000,1224300,7859000,411525,8068250,41.6,168419,211710,324.9,4074.2,303.3,1946.8,101.9,1998.6,2947225,32374250,8.5-15.1-3.3-4.2-4.1--1.0--0.5-0.0-0.0-0.6_0__Perspective.png,8.5-15.1-3.3-4.2-4.1--1.0--0.5-0.0-0.0-0.6.json
6.0-18.5-2.9-3.8-5.6--1.5-0.7-0.0-1.0-0.6,6,18.5,2.9,3.8,5.6,-1.5,0.7,0,1,60,3701,1073000,13457000,1001800,6430300,694180,13610480,96,179156,231811,289.9,3636.0,270.7,1737.4,187.6,3677.5,2768980,33497780,6.0-18.5-2.9-3.8-5.6--1.5-0.7-0.0-1.0-0.6_0__Perspective.png,6.0-18.5-2.9-3.8-5.6--1.5-0.7-0.0-1.0-0.6.json
6.9-16.3-3.1-4.1-5.2--0.2-0.5-1.0-0.0-0.8,6.9,16.3,3.1,4.1,5.2,-0.2,0.5,1,0,80,3418.6,1266300,15881000,463652.2,2976200,498852,9780360,78.4,180578,203602,370.4,4645.5,135.6,870.6,145.9,2860.9,2228804,28637560,6.9-16.3-3.1-4.1-5.2--0.2-0.5-1.0-0.0-0.8_0__Perspective.png,6.9-16.3-3.1-4.1-5.2--0.2-0.5-1.0-0.0-0.8.json
6.5-19.7-2.8-4.7-4.1--1.7-0.7-1.0-2.0-0.3,6.5,19.7,2.8,4.7,4.1,-1.7,0.7,1,2,30,4244.1,1293500,16222000,353923.6,2271800,981964,19272010,57.9,172406,232905,304.8,3822.2,83.4,535.3,231.4,4540.9,2629388,37765810,6.5-19.7-2.8-4.7-4.1--1.7-0.7-1.0-2.0-0.3_0__Perspective.png,6.5-19.7-2.8-4.7-4.1--1.7-0.7-1.0-2.0-0.3.json
6.9-15.6-2.5-3.2-6.2-0.0--0.8-0.0-1.0-0.5,6.9,15.6,2.5,3.2,6.2,0,-0.8,0,1,50,3488,1098700,13779000,1025800,6584300,700585,13736060,97.1,171727,230287,315.0,3950.4,294.1,1887.7,200.9,3938.1,2825085,34099360,6.9-15.6-2.5-3.2-6.2-0.0--0.8-0.0-1.0-0.5_0__Perspective.png,6.9-15.6-2.5-3.2-6.2-0.0--0.8-0.0-1.0-0.5.json
6.8-16.8-2.9-4.0-4.6-1.4--0.8-0.0-1.0-0.5,6.8,16.8,2.9,4,4.6,1.4,-0.8,0,1,50,3808.6,1092700,13703000,1020100,6547900,551135,10805860,60,159884,216306,286.9,3597.9,267.8,1719.2,144.7,2837.2,2663935,31056760,6.8-16.8-2.9-4.0-4.6-1.4--0.8-0.0-1.0-0.5_0__Perspective.png,6.8-16.8-2.9-4.0-4.6-1.4--0.8-0.0-1.0-0.5.json
7.2-16.2-2.7-3.8-4.9--2.0-0.4-0.0-1.0-0.5,7.2,16.2,2.7,3.8,4.9,-2,0.4,0,1,50,3886.1,1155600,14492000,1078800,6924800,575230,11278280,63.1,165795,223337,297.4,3729.2,277.6,1781.9,148.0,2902.2,2809630,32695080,7.2-16.2-2.7-3.8-4.9--2.0-0.4-0.0-1.0-0.5_0__Perspective.png,7.2-16.2-2.7-3.8-4.9--2.0-0.4-0.0-1.0-0.5.json
8.6-16.5-3.2-5.2-6.1--0.8--0.5-0.0-0.0-0.5,8.6,16.5,3.2,5.2,6.1,-0.8,-0.5,0,0,50,4361.8,1562700,19598000,1458900,9364900,688293,13494490,77.5,223073,259235,358.3,4493.1,334.5,2147.0,157.8,3093.8,3709893,42457390,8.6-16.5-3.2-5.2-6.1--0.8--0.5-0.0-0.0-0.5_0__Perspective.png,8.6-16.5-3.2-5.2-6.1--0.8--0.5-0.0-0.0-0.5.json
6.2-16.5-3.4-4.0-6.1-1.6--0.3-0.0-2.0-0.0,6.2,16.5,3.4,4,6.1,1.6,-0.3,0,2,0,3183.8,911594.3,11433000,851056.2,5462900,1367536,26839240,99.7,175581,224061,286.3,3591.0,267.3,1715.8,429.5,8429.9,3130187,43735140,6.2-16.5-3.4-4.0-6.1-1.6--0.3-0.0-2.0-0.0_0__Perspective.png,6.2-16.5-3.4-4.0-6.1-1.6--0.3-0.0-2.0-0.0.json
7.1-17.5-3.3-5.0-5.3-1.0-0.2-0.0-1.0-0.8,7.1,17.5,3.3,5,5.3,1,0.2,0,1,80,3697.6,1244900,15612000,1162200,7460100,594750,11661000,70.9,182726,242484,336.7,4222.2,314.3,2017.6,160.8,3153.7,3001850,34733100,7.1-17.5-3.3-5.0-5.3-1.0-0.2-0.0-1.0-0.8_0__Perspective.png,7.1-17.5-3.3-5.0-5.3-1.0-0.2-0.0-1.0-0.8.json
6.5-19.8-3.3-5.8-6.1-1.0--0.1-1.0-1.0-0.9,6.5,19.8,3.3,5.8,6.1,1,-0.1,1,1,90,3707,1987200,24922000,596382.2,3828100,739930,14507480,96.8,208031,268869,536.1,6723.0,160.9,1032.7,199.6,3913.5,3323512,43257580,6.5-19.8-3.3-5.8-6.1-1.0--0.1-1.0-1.0-0.9_0__Perspective.png,6.5-19.8-3.3-5.8-6.1-1.0--0.1-1.0-1.0-0.9.json
8.9-15.3-3.1-3.1-5.4-1.6--0.7-0.0-1.0-0.4,8.9,15.3,3.1,3.1,5.4,1.6,-0.7,0,1,40,4621.8,1515000,19000000,1414400,9079000,660935,12958660,58.4,186668,260087,327.8,4111.0,306.0,1964.4,143.0,2803.8,3590335,41037660,8.9-15.3-3.1-3.1-5.4-1.6--0.7-0.0-1.0-0.4_0__Perspective.png,8.9-15.3-3.1-3.1-5.4-1.6--0.7-0.0-1.0-0.4.json
6.9-16.7-3.1-4.2-5.7--1.8--0.3-0.0-2.0-0.0,6.9,16.7,3.1,4.2,5.7,-1.8,-0.3,0,2,0,3676.1,1039900,13041000,970823,6231700,1328928,26081520,97.2,182717,236818,282.9,3547.5,264.1,1695.2,361.5,7094.9,3339651,45354220,6.9-16.7-3.1-4.2-5.7--1.8--0.3-0.0-2.0-0.0_0__Perspective.png,6.9-16.7-3.1-4.2-5.7--1.8--0.3-0.0-2.0-0.0.json
6.9-16.0-3.1-3.5-5.8--1.9--0.7-0.0-1.0-0.0,6.9,16,3.1,3.5,5.8,-1.9,-0.7,0,1,0,3737.1,1038800,13028000,969797.4,6225100,787815,15446340,97.4,174645,230484,278.0,3486.1,259.5,1665.8,210.8,4133.2,2796412,34699440,6.9-16.0-3.1-3.5-5.8--1.9--0.7-0.0-1.0-0.0_0__Perspective.png,6.9-16.0-3.1-3.5-5.8--1.9--0.7-0.0-1.0-0.0.json
7.9-16.2-3.0-4.5-4.5--0.5-0.2-1.0-0.0-0.7,7.9,16.2,3,4.5,4.5,-0.5,0.2,1,0,70,3833.5,1929500,24199000,444055.4,2850400,453375,8888750,58.2,184326,215815,503.3,6312.5,115.8,743.6,118.3,2318.7,2826930,35938150,7.9-16.2-3.0-4.5-4.5--0.5-0.2-1.0-0.0-0.7_0__Perspective.png,7.9-16.2-3.0-4.5-4.5--0.5-0.2-1.0-0.0-0.7.json
6.6-17.1-2.9-3.3-4.7--0.3-0.4-1.0-1.0-0.5,6.6,17.1,2.9,3.3,4.7,-0.3,0.4,1,1,50,3514.1,1590800,19950000,356665,2289400,568520,11146720,75.5,165834,215613,452.7,5677.1,101.5,651.5,161.8,3172.0,2515985,33386120,6.6-17.1-2.9-3.3-4.7--0.3-0.4-1.0-1.0-0.5_0__Perspective.png,6.6-17.1-2.9-3.3-4.7--0.3-0.4-1.0-1.0-0.5.json
7.9-16.5-3.2-3.1-4.1--1.1-0.2-0.0-2.0-0.8,7.9,16.5,3.2,3.1,4.1,-1.1,0.2,0,2,80,4136.2,1289700,16175000,1204100,7728800,732028,14366770,39.8,165650,229113,311.8,3910.6,291.1,1868.6,177.0,3473.4,3225828,38270570,7.9-16.5-3.2-3.1-4.1--1.1-0.2-0.0-2.0-0.8_0__Perspective.png,7.9-16.5-3.2-3.1-4.1--1.1-0.2-0.0-2.0-0.8.json
7.3-15.5-2.8-3.1-5.2--1.5-0.0-0.0-0.0-0.3,7.3,15.5,2.8,3.1,5.2,-1.5,0,0,0,30,3605.8,1060400,13299000,989994.3,6354700,581436,11399480,80.5,179439,203009,294.1,3688.2,274.6,1762.4,161.3,3161.4,2631830,31053180,7.3-15.5-2.8-3.1-5.2--1.5-0.0-0.0-0.0-0.3_0__Perspective.png,7.3-15.5-2.8-3.1-5.2--1.5-0.0-0.0-0.0-0.3.json
8.5-18.3-2.9-3.9-5.7--0.8--0.6-0.0-1.0-0.9,8.5,18.3,2.9,3.9,5.7,-0.8,-0.6,0,1,90,5030.9,1757300,22039000,1640600,10531000,647210,12689560,59.7,216152,298801,349.3,4380.7,326.1,2093.3,128.6,2522.3,4045110,45259560,8.5-18.3-2.9-3.9-5.7--0.8--0.6-0.0-1.0-0.9_0__Perspective.png,8.5-18.3-2.9-3.9-5.7--0.8--0.6-0.0-1.0-0.9.json
8.9-16.9-2.5-5.7-6.2-0.1-0.7-0.0-0.0-0.9,8.9,16.9,2.5,5.7,6.2,0.1,0.7,0,0,90,4660.7,1809400,22692000,1689200,10843000,598455,11733150,63.9,227443,276560,388.2,4868.8,362.4,2326.5,128.4,2517.5,4097055,45268150,8.9-16.9-2.5-5.7-6.2-0.1-0.7-0.0-0.0-0.9_0__Perspective.png,8.9-16.9-2.5-5.7-6.2-0.1-0.7-0.0-0.0-0.9.json
8.7-16.9-3.2-3.6-4.9--0.6-0.3-0.0-2.0-0.1,8.7,16.9,3.2,3.6,4.9,-0.6,0.3,0,2,10,4579,1389100,17421000,1296800,8324200,1196848,23489320,65,198922,269581,303.4,3804.5,283.2,1817.9,261.4,5129.8,3882748,49234520,8.7-16.9-3.2-3.6-4.9--0.6-0.3-0.0-2.0-0.1_0__Perspective.png,8.7-16.9-3.2-3.6-4.9--0.6-0.3-0.0-2.0-0.1.json
8.3-19.8-3.3-5.0-4.3--0.3--0.6-1.0-1.0-0.7,8.3,19.8,3.3,5,4.3,-0.3,-0.6,1,1,70,5071.4,1564600,19622000,505423.6,3244300,568520,11146720,48.2,210801,286550,308.5,3869.1,99.7,639.7,112.1,2198.0,2638544,34013020,8.3-19.8-3.3-5.0-4.3--0.3--0.6-1.0-1.0-0.7_0__Perspective.png,8.3-19.8-3.3-5.0-4.3--0.3--0.6-1.0-1.0-0.7.json
8.4-19.5-2.5-3.9-6.0--0.2--1.0-0.0-0.0-0.9,8.4,19.5,2.5,3.9,6,-0.2,-1,0,0,90,5433.1,1865300,23393000,1741400,11178000,662067,12980310,62.4,246388,297295,343.3,4305.6,320.5,2057.4,121.9,2389.1,4268767,47551310,8.4-19.5-2.5-3.9-6.0--0.2--1.0-0.0-0.0-0.9_0__Perspective.png,8.4-19.5-2.5-3.9-6.0--0.2--1.0-0.0-0.0-0.9.json
8.6-15.1-2.7-3.5-5.5--1.3--0.3-0.0-0.0-0.3,8.6,15.1,2.7,3.5,5.5,-1.3,-0.3,0,0,30,4220.8,1356800,17016000,1266700,8130800,630261,12356730,72.3,198059,230850,321.5,4031.5,300.1,1926.4,149.3,2927.6,3253761,37503530,8.6-15.1-2.7-3.5-5.5--1.3--0.3-0.0-0.0-0.3_0__Perspective.png,8.6-15.1-2.7-3.5-5.5--1.3--0.3-0.0-0.0-0.3.json
7.2-17.1-3.1-3.3-4.2--0.6--0.8-0.0-0.0-0.4,7.2,17.1,3.1,3.3,4.2,-0.6,-0.8,0,0,40,4033,1127900,14145000,1053000,6759100,487971,9567030,50.9,171915,207201,279.7,3507.3,261.1,1675.9,121.0,2372.2,2668871,30471130,7.2-17.1-3.1-3.3-4.2--0.6--0.8-0.0-0.0-0.4_0__Perspective.png,7.2-17.1-3.1-3.3-4.2--0.6--0.8-0.0-0.0-0.4.json
8.6-19.6-2.8-4.7-6.2-0.8-0.5-1.0-1.0-0.9,8.6,19.6,2.8,4.7,6.2,0.8,0.5,1,1,90,5363.5,2356300,29551000,691583.6,4439200,752435,14752660,68,238862,330262,439.3,5509.6,128.9,827.7,140.3,2750.6,3800319,48742860,8.6-19.6-2.8-4.7-6.2-0.8-0.5-1.0-1.0-0.9_0__Perspective.png,8.6-19.6-2.8-4.7-6.2-0.8-0.5-1.0-1.0-0.9.json
8.1-16.5-2.5-5.2-4.2-1.6-0.7-0.0-2.0-0.4,8.1,16.5,2.5,5.2,4.2,1.6,0.7,0,2,40,4422.2,1339300,16796000,1250300,8025700,885952,17387680,44.7,169980,237216,302.9,3798.1,282.7,1814.9,200.3,3931.9,3475552,42209380,8.1-16.5-2.5-5.2-4.2-1.6-0.7-0.0-2.0-0.4_0__Perspective.png,8.1-16.5-2.5-5.2-4.2-1.6-0.7-0.0-2.0-0.4.json
8.3-18.7-2.8-3.0-5.6--0.5--0.1-0.0-0.0-0.1,8.3,18.7,2.8,3,5.6,-0.5,-0.1,0,0,10,4841.2,1423000,17847000,1328500,8527700,795150,15589500,84.7,243501,271243,293.9,3686.5,274.4,1761.5,164.2,3220.2,3546650,41964200,8.3-18.7-2.8-3.0-5.6--0.5--0.1-0.0-0.0-0.1_0__Perspective.png,8.3-18.7-2.8-3.0-5.6--0.5--0.1-0.0-0.0-0.1.json
8.6-16.7-3.2-4.1-6.4--1.8--0.6-0.0-1.0-0.3,8.6,16.7,3.2,4.1,6.4,-1.8,-0.6,0,1,30,4762.1,1590400,19946000,1484800,9530700,862235,16905460,89.8,215834,291488,334.0,4188.5,311.8,2001.4,181.1,3550.0,3937435,46382160,8.6-16.7-3.2-4.1-6.4--1.8--0.6-0.0-1.0-0.3_0__Perspective.png,8.6-16.7-3.2-4.1-6.4--1.8--0.6-0.0-1.0-0.3.json
8.0-16.6-3.0-4.2-5.1-0.2--0.8-0.0-1.0-0.0,8,16.6,3,4.2,5.1,0.2,-0.8,0,1,0,4199.7,1220600,15308000,1139600,7314900,744200,14591200,78.6,187827,252664,290.6,3645.0,271.4,1741.8,177.2,3474.3,3104400,37214100,8.0-16.6-3.0-4.2-5.1-0.2--0.8-0.0-1.0-0.0_0__Perspective.png,8.0-16.6-3.0-4.2-5.1-0.2--0.8-0.0-1.0-0.0.json
6.5-15.4-3.0-3.1-5.5--0.8-0.6-0.0-0.0-0.5,6.5,15.4,3,3.1,5.5,-0.8,0.6,0,0,50,3240.6,979785.3,12288000,914718.8,5871500,556605,10912650,93,169205,188262,302.3,3791.9,282.3,1811.9,171.8,3367.5,2451109,29072150,6.5-15.4-3.0-3.1-5.5--0.8-0.6-0.0-0.0-0.5_0__Perspective.png,6.5-15.4-3.0-3.1-5.5--0.8-0.6-0.0-0.0-0.5.json
7.9-15.8-2.7-4.0-4.3-0.5-0.7-0.0-1.0-0.0,7.9,15.8,2.7,4,4.3,0.5,0.7,0,1,0,4000.5,1116900,14008000,1042800,6693400,604510,11852360,59.9,164152,226632,279.2,3501.6,260.7,1673.1,151.1,2962.7,2764210,32553760,7.9-15.8-2.7-4.0-4.3-0.5-0.7-0.0-1.0-0.0_0__Perspective.png,7.9-15.8-2.7-4.0-4.3-0.5-0.7-0.0-1.0-0.0.json
8.5-17.1-3.1-4.1-6.2-1.6--0.4-0.0-1.0-0.0,8.5,17.1,3.1,4.1,6.2,1.6,-0.4,0,1,0,4719.7,1457300,18276000,1360500,8733000,941230,18454280,94.6,219206,292771,308.8,3872.3,288.3,1850.3,199.4,3910.1,3759030,45463280,8.5-17.1-3.1-4.1-6.2-1.6--0.4-0.0-1.0-0.0_0__Perspective.png,8.5-17.1-3.1-4.1-6.2-1.6--0.4-0.0-1.0-0.0.json
6.2-15.4-2.7-3.1-5.5-0.9--0.6-1.0-1.0-0.6,6.2,15.4,2.7,3.1,5.5,0.9,-0.6,1,1,60,3130.2,1087100,13633000,379301.5,2434700,583160,11433760,94.5,150176,199486,347.3,4355.3,121.2,777.8,186.3,3652.7,2049562,27501460,6.2-15.4-2.7-3.1-5.5-0.9--0.6-1.0-1.0-0.6_0__Perspective.png,6.2-15.4-2.7-3.1-5.5-0.9--0.6-1.0-1.0-0.6.json
6.6-15.0-2.7-3.3-4.3--1.2-0.5-0.0-0.0-0.8,6.6,15,2.7,3.3,4.3,-1.2,0.5,0,0,80,3238.6,962201.6,12067000,898302.8,5766100,380835,7466550,50.9,144977,172459,297.1,3726.0,277.4,1780.4,117.6,2305.5,2241339,25299650,6.6-15.0-2.7-3.3-4.3--1.2-0.5-0.0-0.0-0.8_0__Perspective.png,6.6-15.0-2.7-3.3-4.3--1.2-0.5-0.0-0.0-0.8.json
8.4-15.9-3.4-4.0-4.6--1.2--0.5-0.0-1.0-0.4,8.4,15.9,3.4,4,4.6,-1.2,-0.5,0,1,40,4257,1346800,16891000,1257400,8071000,571265,11200540,52.8,175379,242600,316.4,3967.8,295.4,1895.9,134.2,2631.1,3175465,36162540,8.4-15.9-3.4-4.0-4.6--1.2--0.5-0.0-1.0-0.4_0__Perspective.png,8.4-15.9-3.4-4.0-4.6--1.2--0.5-0.0-1.0-0.4.json
7.9-18.0-2.9-3.2-5.8-0.2--0.7-1.0-1.0-0.6,7.9,18,2.9,3.2,5.8,0.2,-0.7,1,1,60,4590.4,1443600,18105000,494533.8,3174400,727730,14268280,83.5,212064,279854,314.5,3944.1,107.7,691.5,158.5,3108.3,2665864,35547680,7.9-18.0-2.9-3.2-5.8-0.2--0.7-1.0-1.0-0.6_0__Perspective.png,7.9-18.0-2.9-3.2-5.8-0.2--0.7-1.0-1.0-0.6.json
6.8-17.5-2.6-5.4-5.0--0.1-0.8-1.0-2.0-0.4,6.8,17.5,2.6,5.4,5,-0.1,0.8,1,2,40,3709.1,1277600,16023000,403859.9,2592300,1065784,20917060,84.6,176782,230946,344.5,4319.9,108.9,698.9,287.3,5639.4,2747244,39532360,6.8-17.5-2.6-5.4-5.0--0.1-0.8-1.0-2.0-0.4_0__Perspective.png,6.8-17.5-2.6-5.4-5.0--0.1-0.8-1.0-2.0-0.4.json
7.8-15.2-3.0-4.3-5.7-1.6--0.4-0.0-1.0-0.9,7.8,15.2,3,4.3,5.7,1.6,-0.4,0,1,90,3811.2,1381900,17330000,1290100,8281000,540155,10590580,66.7,172080,236654,362.6,4547.1,338.5,2172.8,141.7,2778.8,3212155,36201580,7.8-15.2-3.0-4.3-5.7-1.6--0.4-0.0-1.0-0.9_0__Perspective.png,7.8-15.2-3.0-4.3-5.7-1.6--0.4-0.0-1.0-0.9.json
8.9-18.8-3.4-3.6-4.9-0.3--0.8-0.0-1.0-0.7,8.9,18.8,3.4,3.6,4.9,0.3,-0.8,0,1,70,5381.8,1782900,22360000,1664500,10684000,624030,12235080,44.3,217061,300847,331.3,4154.7,309.3,1985.2,116.0,2273.4,4071430,45279080,8.9-18.8-3.4-3.6-4.9-0.3--0.8-0.0-1.0-0.7_0__Perspective.png,8.9-18.8-3.4-3.6-4.9-0.3--0.8-0.0-1.0-0.7.json
7.3-17.4-3.4-4.0-5.3--1.3--0.9-0.0-2.0-0.7,7.3,17.4,3.4,4,5.3,-1.3,-0.9,0,2,70,4205,1336000,16755000,1247200,8005900,1025652,20129430,66,180966,247937,317.7,3984.5,296.6,1903.9,243.9,4787.0,3608852,44890330,7.3-17.4-3.4-4.0-5.3--1.3--0.9-0.0-2.0-0.7_0__Perspective.png,7.3-17.4-3.4-4.0-5.3--1.3--0.9-0.0-2.0-0.7.json
