Description,in:width,in:length,in:height,out:surfaceArea,out:volume,out:edgeLength,img,threeD
1_1_1,1,1,1,24,8,24,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/1_1_1_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/1_1_1.json
2_1_1,2,1,1,40,16,32,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/2_1_1_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/2_1_1.json
3_1_1,3,1,1,56,24,40,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/3_1_1_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/3_1_1.json
4_1_1,4,1,1,72,32,48,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/4_1_1_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/4_1_1.json
5_1_1,5,1,1,88,40,56,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/5_1_1_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/5_1_1.json
1_2_1,1,2,1,40,16,32,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/1_2_1_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/1_2_1.json
2_2_1,2,2,1,64,32,40,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/2_2_1_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/2_2_1.json
3_2_1,3,2,1,88,48,48,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/3_2_1_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/3_2_1.json
4_2_1,4,2,1,112,64,56,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/4_2_1_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/4_2_1.json
5_2_1,5,2,1,136,80,64,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/5_2_1_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/5_2_1.json
1_3_1,1,3,1,56,24,40,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/1_3_1_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/1_3_1.json
2_3_1,2,3,1,88,48,48,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/2_3_1_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/2_3_1.json
3_3_1,3,3,1,120,72,56,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/3_3_1_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/3_3_1.json
4_3_1,4,3,1,152,96,64,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/4_3_1_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/4_3_1.json
5_3_1,5,3,1,184,120,72,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/5_3_1_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/5_3_1.json
1_4_1,1,4,1,72,32,48,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/1_4_1_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/1_4_1.json
2_4_1,2,4,1,112,64,56,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/2_4_1_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/2_4_1.json
3_4_1,3,4,1,152,96,64,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/3_4_1_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/3_4_1.json
4_4_1,4,4,1,192,128,72,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/4_4_1_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/4_4_1.json
5_4_1,5,4,1,232,160,80,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/5_4_1_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/5_4_1.json
1_5_1,1,5,1,88,40,56,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/1_5_1_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/1_5_1.json
2_5_1,2,5,1,136,80,64,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/2_5_1_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/2_5_1.json
3_5_1,3,5,1,184,120,72,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/3_5_1_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/3_5_1.json
4_5_1,4,5,1,232,160,80,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/4_5_1_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/4_5_1.json
5_5_1,5,5,1,280,200,88,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/5_5_1_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/5_5_1.json
1_1_2,1,1,2,40,16,32,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/1_1_2_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/1_1_2.json
2_1_2,2,1,2,64,32,40,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/2_1_2_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/2_1_2.json
3_1_2,3,1,2,88,48,48,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/3_1_2_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/3_1_2.json
4_1_2,4,1,2,112,64,56,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/4_1_2_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/4_1_2.json
5_1_2,5,1,2,136,80,64,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/5_1_2_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/5_1_2.json
1_2_2,1,2,2,64,32,40,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/1_2_2_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/1_2_2.json
2_2_2,2,2,2,96,64,48,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/2_2_2_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/2_2_2.json
3_2_2,3,2,2,128,96,56,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/3_2_2_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/3_2_2.json
4_2_2,4,2,2,160,128,64,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/4_2_2_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/4_2_2.json
5_2_2,5,2,2,192,160,72,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/5_2_2_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/5_2_2.json
1_3_2,1,3,2,88,48,48,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/1_3_2_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/1_3_2.json
2_3_2,2,3,2,128,96,56,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/2_3_2_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/2_3_2.json
3_3_2,3,3,2,168,144,64,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/3_3_2_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/3_3_2.json
4_3_2,4,3,2,208,192,72,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/4_3_2_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/4_3_2.json
5_3_2,5,3,2,248,240,80,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/5_3_2_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/5_3_2.json
1_4_2,1,4,2,112,64,56,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/1_4_2_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/1_4_2.json
2_4_2,2,4,2,160,128,64,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/2_4_2_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/2_4_2.json
3_4_2,3,4,2,208,192,72,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/3_4_2_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/3_4_2.json
4_4_2,4,4,2,256,256,80,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/4_4_2_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/4_4_2.json
5_4_2,5,4,2,304,320,88,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/5_4_2_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/5_4_2.json
1_5_2,1,5,2,136,80,64,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/1_5_2_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/1_5_2.json
2_5_2,2,5,2,192,160,72,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/2_5_2_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/2_5_2.json
3_5_2,3,5,2,248,240,80,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/3_5_2_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/3_5_2.json
4_5_2,4,5,2,304,320,88,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/4_5_2_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/4_5_2.json
5_5_2,5,5,2,360,400,96,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/5_5_2_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/5_5_2.json
1_1_3,1,1,3,56,24,40,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/1_1_3_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/1_1_3.json
2_1_3,2,1,3,88,48,48,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/2_1_3_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/2_1_3.json
3_1_3,3,1,3,120,72,56,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/3_1_3_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/3_1_3.json
4_1_3,4,1,3,152,96,64,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/4_1_3_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/4_1_3.json
5_1_3,5,1,3,184,120,72,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/5_1_3_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/5_1_3.json
1_2_3,1,2,3,88,48,48,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/1_2_3_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/1_2_3.json
2_2_3,2,2,3,128,96,56,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/2_2_3_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/2_2_3.json
3_2_3,3,2,3,168,144,64,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/3_2_3_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/3_2_3.json
4_2_3,4,2,3,208,192,72,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/4_2_3_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/4_2_3.json
5_2_3,5,2,3,248,240,80,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/5_2_3_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/5_2_3.json
1_3_3,1,3,3,120,72,56,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/1_3_3_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/1_3_3.json
2_3_3,2,3,3,168,144,64,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/2_3_3_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/2_3_3.json
3_3_3,3,3,3,216,216,72,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/3_3_3_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/3_3_3.json
4_3_3,4,3,3,264,288,80,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/4_3_3_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/4_3_3.json
5_3_3,5,3,3,312,360,88,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/5_3_3_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/5_3_3.json
1_4_3,1,4,3,152,96,64,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/1_4_3_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/1_4_3.json
2_4_3,2,4,3,208,192,72,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/2_4_3_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/2_4_3.json
3_4_3,3,4,3,264,288,80,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/3_4_3_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/3_4_3.json
4_4_3,4,4,3,320,384,88,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/4_4_3_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/4_4_3.json
5_4_3,5,4,3,376,480,96,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/5_4_3_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/5_4_3.json
1_5_3,1,5,3,184,120,72,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/1_5_3_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/1_5_3.json
2_5_3,2,5,3,248,240,80,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/2_5_3_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/2_5_3.json
3_5_3,3,5,3,312,360,88,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/3_5_3_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/3_5_3.json
4_5_3,4,5,3,376,480,96,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/4_5_3_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/4_5_3.json
5_5_3,5,5,3,440,600,104,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/5_5_3_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/5_5_3.json
1_1_4,1,1,4,72,32,48,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/1_1_4_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/1_1_4.json
2_1_4,2,1,4,112,64,56,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/2_1_4_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/2_1_4.json
3_1_4,3,1,4,152,96,64,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/3_1_4_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/3_1_4.json
4_1_4,4,1,4,192,128,72,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/4_1_4_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/4_1_4.json
5_1_4,5,1,4,232,160,80,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/5_1_4_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/5_1_4.json
1_2_4,1,2,4,112,64,56,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/1_2_4_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/1_2_4.json
2_2_4,2,2,4,160,128,64,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/2_2_4_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/2_2_4.json
3_2_4,3,2,4,208,192,72,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/3_2_4_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/3_2_4.json
4_2_4,4,2,4,256,256,80,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/4_2_4_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/4_2_4.json
5_2_4,5,2,4,304,320,88,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/5_2_4_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/5_2_4.json
1_3_4,1,3,4,152,96,64,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/1_3_4_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/1_3_4.json
2_3_4,2,3,4,208,192,72,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/2_3_4_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/2_3_4.json
3_3_4,3,3,4,264,288,80,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/3_3_4_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/3_3_4.json
4_3_4,4,3,4,320,384,88,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/4_3_4_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/4_3_4.json
5_3_4,5,3,4,376,480,96,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/5_3_4_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/5_3_4.json
1_4_4,1,4,4,192,128,72,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/1_4_4_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/1_4_4.json
2_4_4,2,4,4,256,256,80,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/2_4_4_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/2_4_4.json
3_4_4,3,4,4,320,384,88,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/3_4_4_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/3_4_4.json
4_4_4,4,4,4,384,512,96,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/4_4_4_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/4_4_4.json
5_4_4,5,4,4,448,640,104,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/5_4_4_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/5_4_4.json
1_5_4,1,5,4,232,160,80,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/1_5_4_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/1_5_4.json
2_5_4,2,5,4,304,320,88,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/2_5_4_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/2_5_4.json
3_5_4,3,5,4,376,480,96,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/3_5_4_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/3_5_4.json
4_5_4,4,5,4,448,640,104,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/4_5_4_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/4_5_4.json
5_5_4,5,5,4,520,800,112,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/5_5_4_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/5_5_4.json
1_1_5,1,1,5,88,40,56,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/1_1_5_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/1_1_5.json
2_1_5,2,1,5,136,80,64,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/2_1_5_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/2_1_5.json
3_1_5,3,1,5,184,120,72,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/3_1_5_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/3_1_5.json
4_1_5,4,1,5,232,160,80,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/4_1_5_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/4_1_5.json
5_1_5,5,1,5,280,200,88,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/5_1_5_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/5_1_5.json
1_2_5,1,2,5,136,80,64,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/1_2_5_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/1_2_5.json
2_2_5,2,2,5,192,160,72,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/2_2_5_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/2_2_5.json
3_2_5,3,2,5,248,240,80,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/3_2_5_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/3_2_5.json
4_2_5,4,2,5,304,320,88,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/4_2_5_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/4_2_5.json
5_2_5,5,2,5,360,400,96,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/5_2_5_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/5_2_5.json
1_3_5,1,3,5,184,120,72,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/1_3_5_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/1_3_5.json
2_3_5,2,3,5,248,240,80,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/2_3_5_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/2_3_5.json
3_3_5,3,3,5,312,360,88,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/3_3_5_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/3_3_5.json
4_3_5,4,3,5,376,480,96,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/4_3_5_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/4_3_5.json
5_3_5,5,3,5,440,600,104,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/5_3_5_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/5_3_5.json
1_4_5,1,4,5,232,160,80,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/1_4_5_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/1_4_5.json
2_4_5,2,4,5,304,320,88,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/2_4_5_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/2_4_5.json
3_4_5,3,4,5,376,480,96,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/3_4_5_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/3_4_5.json
4_4_5,4,4,5,448,640,104,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/4_4_5_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/4_4_5.json
5_4_5,5,4,5,520,800,112,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/5_4_5_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/5_4_5.json
1_5_5,1,5,5,280,200,88,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/1_5_5_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/1_5_5.json
2_5_5,2,5,5,360,400,96,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/2_5_5_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/2_5_5.json
3_5_5,3,5,5,440,600,104,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/3_5_5_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/3_5_5.json
4_5_5,4,5,5,520,800,112,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/4_5_5_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/4_5_5.json
5_5_5,5,5,5,600,1000,120,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/5_5_5_Perspective.png,https://tt-acm.github.io/DesignExplorer/design_explorer_data/RedBox/5_5_5.json
